AeroDyn airfoil file.  Compatible with AeroDyn v13.0.
Interpolated thickness: 0.287
   1  Number of airfoil tables in this file
     9990  Reynolds number in millions.  For efficiency, make very large if only one table.
  10.8185  Stall angle (deg)
        0  No longer used, enter zero
        0  No longer used, enter zero
        0  No longer used, enter zero
 -3.56702  Zero lift angle of attack (deg)
  6.07785  Cn slope for zero lift (dimensionless)
  1.52599  Cn at stall value for positive angle of attack
     -0.8  Cn at stall value for negative angle of attack
    -2.12  Angle of attack for minimum CD (deg)
 0.0314954  Minimum CD value
-180.00    0.000  0.1257 -0.0000
-170.00    0.370  0.1642  0.3753
-160.00    0.740  0.2748 -0.1344
-150.00    0.665  0.4439 -0.0591
-140.00    0.617  0.6502 -0.0067
-130.00    0.553  0.8681  0.0441
-120.00    0.453  1.0700  0.0945
-110.00    0.321  1.2303  0.1412
-100.00    0.164  1.3281  0.1795
 -90.00    0.000  1.3501  0.2046
 -80.00   -0.164  1.3281  0.2232
 -70.00   -0.321  1.2303  0.2266
 -60.00   -0.453  1.0700  0.2178
 -50.00   -0.553  0.8681  0.2026
 -40.00   -0.617  0.6502  0.1903
 -30.00   -0.665  0.4439  0.1977
 -20.00   -0.738  0.2747  0.2697
 -10.00   -0.302  0.1211  0.1192
  -4.17   -0.068  0.0317 -0.1263
  -3.17    0.039  0.0316 -0.1282
  -2.12    0.150  0.0315 -0.1297
  -1.08    0.262  0.0315 -0.1313
  -0.05    0.372  0.0316 -0.1323
  -0.04    0.373  0.0316 -0.1323
   1.17    0.503  0.0318 -0.1335
   2.34    0.627  0.0320 -0.1345
   3.52    0.750  0.0323 -0.1352
   4.69    0.870  0.0325 -0.1351
   5.86    0.986  0.0329 -0.1342
   7.03    1.096  0.0335 -0.1322
   8.21    1.186  0.0341 -0.1267
  10.82    1.227  0.0460 -0.0984
  13.43    1.074  0.1290 -0.0909
  16.04    1.037  0.1805 -0.0989
  18.65    1.061  0.2316 -0.1113
  21.27    1.055  0.2959 -0.1315
  23.88    1.023  0.3402 -0.1572
  26.49    0.992  0.3845 -0.1829
  29.10    0.960  0.4288 -0.2085
  31.72    0.938  0.4794 -0.2274
  34.33    0.920  0.5333 -0.2428
  36.94    0.903  0.5872 -0.2582
  39.55    0.885  0.6410 -0.2736
  42.16    0.862  0.6974 -0.2868
  44.78    0.838  0.7543 -0.2995
  47.39    0.813  0.8112 -0.3123
  50.00    0.789  0.8681 -0.3250
  60.00    0.647  1.0700 -0.3684
  70.00    0.458  1.2303 -0.4062
  80.00    0.235  1.3281 -0.4373
  90.00    0.000  1.3501 -0.4596
 100.00   -0.164  1.3281 -0.4781
 110.00   -0.321  1.2303 -0.4816
 120.00   -0.453  1.0700 -0.4727
 130.00   -0.553  0.8681 -0.4576
 140.00   -0.617  0.6502 -0.4452
 150.00   -0.665  0.4439 -0.4526
 160.00   -0.740  0.2748 -0.5254
 170.00   -0.370  0.1642 -0.4691
 180.00    0.000  0.1257 -0.0000
