**Field Name**,**Example Value**,**Activation Logic**
``config.ansys.meshFile``,``'master'``,If Field Name exists and is not empty.
``config.ansys.analysisFileName``,``'BAR02'``,If Field Name exists and is not empty.
``config.ansys.np``,1,If Field Name exists and is not empty. Defaults to 1.
``config.ansys.analysisFlags.globalBuckling``,3,If Field Name exists and is greater than 0.
``config.ansys.analysisFlags.imperfection``,0,If Field Name exists and is not empty.
``config.ansys.analysisFlags.localBuckling``,``'foam'``,If Field Name exists and is not empty.
``config.ansys.analysisFlags.failure``,``'TWSI'``,If Field Name exists and is not empty.
``config.ansys.analysisFlags.fatigue``,``'all'``,If Field Name exists and is not empty.
``config.ansys.analysisFlags.resultantVSspan``,1,If Field Name exists and is not equal to 0.
``config.ansys.analysisFlags.deflection``,1,If Field Name exists and is not equal to 0.
``config.ansys.analysisFlags.localFields``,``'all'``,If Field Name exists and is not empty.
``config.ansys.analysisFlags.mass``,1,If Field Name exists and is not empty and is not equal to 0.
