Results generated by BModes (v3.00.00, 20-Mar-2008, compiled using double precision) on 07-Nov-2014 at 12:55:52.
BModes analysis to support NuMAD to FAST Blade using PreComp                                       
=================================================================================

            rotating blade frequencies & mode shapes
            --- only first   6 modes printed


 -------- Mode No.   1  (freq = 0.93757E+00 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0800	 0.000332	 0.008292	 0.000043	 0.001087	-0.000066
 0.1600	 0.001687	 0.025936	 0.000223	 0.003458	-0.000479
 0.2400	 0.004660	 0.049464	 0.000622	 0.006643	-0.002866
 0.3200	 0.009643	 0.077165	 0.001292	 0.010372	-0.006179
 0.4000	 0.017055	 0.111217	 0.002277	 0.014646	-0.010782
 0.4800	 0.027602	 0.156604	 0.003635	 0.019817	-0.017087
 0.5600	 0.041947	 0.207712	 0.005404	 0.025080	-0.024828
 0.6400	 0.060537	 0.264213	 0.007581	 0.030220	-0.033810
 0.7200	 0.083639	 0.322015	 0.010140	 0.034797	-0.043177
 0.8000	 0.111635	 0.386891	 0.013037	 0.038799	-0.055575
 0.9000	 0.153399	 0.453176	 0.016997	 0.041555	-0.071188
 1.0000	 0.200872	 0.497516	 0.021117	 0.042400	-0.082120


 -------- Mode No.   2  (freq = 0.10169E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0800	-0.000077	-0.001938	 0.000696	 0.017404	 0.000003
 0.1600	-0.000373	-0.005524	 0.003413	 0.051239	 0.000023
 0.2400	-0.000996	-0.010286	 0.009235	 0.096451	 0.000149
 0.3200	-0.001961	-0.014309	 0.018438	 0.137728	 0.000356
 0.4000	-0.003231	-0.018126	 0.030750	 0.175963	 0.000709
 0.4800	-0.004838	-0.022882	 0.046190	 0.217356	 0.001302
 0.5600	-0.006858	-0.028636	 0.064904	 0.259325	 0.002164
 0.6400	-0.009379	-0.035584	 0.086902	 0.300933	 0.003338
 0.7200	-0.012489	-0.043466	 0.112078	 0.340129	 0.004746
 0.8000	-0.016298	-0.053076	 0.140170	 0.374940	 0.006807
 0.9000	-0.022122	-0.063897	 0.178333	 0.400807	 0.009600
 1.0000	-0.028943	-0.071925	 0.218229	 0.411351	 0.011681


 -------- Mode No.   3  (freq = 0.25195E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0800	-0.000360	-0.008852	-0.000007	-0.000162	 0.000394
 0.1600	-0.001735	-0.025491	-0.000041	-0.000690	 0.002854
 0.2400	-0.004493	-0.043833	-0.000120	-0.001307	 0.016754
 0.3200	-0.008589	-0.059356	-0.000261	-0.002202	 0.035076
 0.4000	-0.013678	-0.068770	-0.000466	-0.002891	 0.058060
